subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links
A quick heads up for tomorrow,2025-09-15,16:46:19,11268,3517,31.21,241,2.14,6.85,43,0.38,FALSE,Sales,No
Going live now!,2025-04-21,0:00:08,11266,4281,38,437,3.88,10.21,35,0.31,FALSE,Value,Yes
A quick heads up for tomorrow,2025-07-14,20:45:02,11258,3680,32.69,186,1.65,5.05,35,0.31,FALSE,Sales,No
Workshop recording and notes,2025-07-13,14:35:07,11256,4031,35.81,475,4.22,11.78,32,0.28,FALSE,Value,Yes
🐙 Livestream Delayed By 24 Hours,2025-04-19,23:38:53,11254,4068,36.15,269,2.39,6.61,26,0.23,FALSE,Value,Yes
sold out,2025-09-16,17:39:45,11220,3756,33.48,180,1.6,4.79,120,1.07,FALSE,Sales,No
Why I built the AI Agent Bootcamp,2025-07-15,15:30:06,11122,3559,32,5,0.04,0.14,29,0.26,FALSE,Sales,No
Vibe coding workshop recording and slides,2025-04-14,14:30:12,11104,4328,38.98,676,6.09,15.62,26,0.23,FALSE,Value,Yes
I have bad news,2025-07-16,14:30:11,11091,4127,37.21,259,2.34,6.28,46,0.41,FALSE,Sales,Yes
Going live now!,2025-04-13,0:00:01,10992,4078,37.1,437,3.98,10.72,29,0.26,FALSE,Value,Yes
Vibe Coding 101 workshop happening today,2025-04-12,14:15:04,10989,4047,36.83,456,4.15,11.27,14,0.13,FALSE,Value,Yes
LLM workshop recording and slides,2025-03-31,15:05:01,10640,5448,51.2,1003,9.43,18.41,36,0.34,FALSE,Value,Yes
Free AI workshop going LIVE today,2025-03-29,14:25:07,10564,3834,36.29,355,3.36,9.26,21,0.2,FALSE,Value,Yes
Going LIVE now!,2025-03-30,0:00:05,10563,3902,36.94,403,3.82,10.33,24,0.23,FALSE,Value,Yes
sold out,2026-02-18,1:49:28,10500,2466,23.49,50,0.48,2.03,18,0.17,FALSE,Sales,Yes
A quick heads up for tomorrow,2026-02-16,16:00:13,10482,2586,24.67,48,0.46,1.86,7,0.07,FALSE,Sales,Yes
Workshop recording and prompts:,2025-03-16,20:30:04,10040,4133,41.17,737,7.34,17.83,27,0.27,FALSE,Value,Yes
Going live now!,2025-03-16,0:00:04,9952,3790,38.08,473,4.75,12.48,30,0.3,FALSE,Value,Yes
Claude workshop going LIVE today,2025-03-15,14:25:06,9932,3665,36.9,454,4.57,12.39,32,0.32,FALSE,Value,Yes
Oops,2025-04-19,16:28:23,9710,3635,37.44,292,3.01,8.03,55,0.57,FALSE,Value,Yes
I need to apologize in advance,2025-04-21,15:15:10,9532,3334,34.98,195,2.05,5.85,48,0.5,FALSE,Value,Yes
Workshop recording and slides,2025-04-21,8:37:44,9500,3102,32.65,312,3.28,10.06,21,0.22,FALSE,Value,Yes
Your private invite to join the AI Agent Bootcamp,2026-02-17,16:00:14,8930,3185,35.67,909,10.18,28.54,11,0.12,FALSE,Sales,Yes
A quick heads up for tomorrow,2026-02-16,16:00:16,8869,3190,35.97,11,0.12,0.34,13,0.15,FALSE,Sales,Yes
sold out,2026-02-18,1:47:14,8856,3112,35.14,13,0.15,0.42,22,0.25,FALSE,Sales,Yes
Going live now!,2025-03-02,0:00:02,8679,3355,38.66,417,4.8,12.43,42,0.48,FALSE,Value,Yes
Announcing my next AI workshop…,2025-02-26,15:15:06,8536,3274,38.36,552,6.47,16.86,39,0.46,TRUE,Sales,Yes
My next AI workshop…,2025-03-13,14:25:08,8426,3259,38.68,493,5.85,15.13,27,0.32,FALSE,Sales,Yes
Livestream recording and slides,2025-12-21,0:02:55,8425,3960,47,734,8.71,18.54,14,0.17,FALSE,Value,Yes
Workshop recording and slides:,2025-02-16,19:00:13,7704,4155,53.93,896,11.63,21.56,71,0.92,FALSE,Value,Yes
Free Workshop: AI Agents Crash Course,2025-02-12,14:45:06,7696,2902,37.71,503,6.54,17.33,66,0.86,FALSE,Value,Yes
AI Agents Crash Course going LIVE today,2025-02-15,15:45:05,7573,2763,36.48,341,4.5,12.34,28,0.37,FALSE,Value,Yes
Going live now!,2025-02-16,0:00:10,7534,2818,37.4,429,5.69,15.22,59,0.78,FALSE,Value,Yes
Building AI Agents workshop going LIVE today,2025-03-01,15:25:02,7249,2632,36.31,310,4.28,11.78,22,0.3,TRUE,Value,Yes
Your private invite to join the AI Agent Bootcamp,2025-10-21,15:00:36,7024,3316,47.21,1077,15.33,32.48,15,0.21,FALSE,Sales,Yes
Urgent message about tomorrow,2025-10-20,14:30:12,7014,3092,44.08,41,0.58,1.33,22,0.31,FALSE,Sales,Yes
Your private invite to join the AI Agent Bootcamp,2025-09-16,15:00:31,6677,3515,52.64,1294,19.38,36.81,20,0.3,FALSE,Sales,Yes
Quick update on the AI Agent Bootcamp,2025-09-11,14:30:15,6626,3381,51.03,405,6.11,11.98,21,0.32,FALSE,Sales,Yes
sold out,2025-09-16,17:32:57,6574,3495,53.16,148,2.25,4.23,51,0.78,FALSE,Sales,Yes
A quick heads up for tomorrow,2025-09-15,16:30:13,6444,3319,51.51,16,0.25,0.48,25,0.39,FALSE,Sales,Yes
Livestream recording and slides,2025-05-26,2:52:21,6226,3645,58.54,925,14.86,25.38,28,0.45,FALSE,Value,Yes
