subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links
Action Needed: Register to join the Freelance Accelerator Masterclass,2025-10-27,14:33:06,244,220,90.16,159,65.16,72.27,0,0,FALSE,Value,Yes
Freelancing 101 Masterclass starts tonight!,2025-10-29,15:42:13,244,186,76.23,36,14.75,19.35,0,0,FALSE,Value,Yes
Freelancing 101 Masterclass starts in few minutes!,2025-10-29,22:43:25,244,181,74.18,30,12.3,16.57,0,0,FALSE,Value,Yes
Content 101 Masterclass starts tonight!,2025-10-30,15:54:17,244,175,71.72,26,10.66,14.86,0,0,FALSE,Value,Yes
Content 101 Masterclass starts in few minutes!,2025-10-30,22:40:53,244,182,74.59,33,13.52,18.13,0,0,FALSE,Value,Yes
Thank you for joining the Freelancing 101 Masterclass,2025-10-30,3:00:42,244,205,84.02,91,37.3,44.39,0,0,FALSE,Value,Yes
Thank you for joining - Replay & Resources,2025-10-31,2:18:58,244,198,81.15,97,39.75,48.99,0,0,FALSE,Value,Yes
🎉 Free Access to the AI App Sprint Workshop,2025-08-29,2:07:10,230,168,73.04,45,19.57,26.79,2,0.87,FALSE,Value,Yes
You now officially have access to AI Tina,2025-10-15,16:08:48,226,191,84.51,80,35.4,41.88,0,0,FALSE,Value,Yes
Action Needed: Register to join the Agent Breakthrough Workshop,2025-12-09,14:14:14,214,187,87.38,137,64.02,73.26,0,0,FALSE,Value,Yes
Happening Tonight! Agent Breakthrough Workshop,2025-12-11,14:34:59,214,189,88.32,56,26.17,29.63,0,0,FALSE,Value,Yes
Recording and materials now available!,2025-12-12,5:46:10,212,182,85.85,137,64.62,75.27,0,0,FALSE,Value,Yes
I’ve got some questions for you {{ subscriber.first_name }},2025-03-17,17:13:29,148,116,78.38,27,18.24,23.28,0,0,FALSE,Value,Yes
congrats!,2025-09-16,17:45:51,111,102,91.89,0,0,0,0,0,FALSE,Others,Yes
Get Ready for the AI Agent Bootcamp Kickoff 🚀,2025-09-20,0:55:11,111,103,92.79,19,17.12,18.45,0,0,FALSE,Value,Yes
AI Agents Bootcamp Kicks Off Today! 🎉,2025-09-21,12:04:42,111,92,82.88,0,0,0,0,0,FALSE,Value,Yes
Kick off event recording and slides now posted! 🌻,2025-09-21,16:44:36,111,100,90.09,0,0,0,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 1 Fundamentals & Assignment!,2025-09-22,15:01:11,111,101,90.99,0,0,0,0,0,FALSE,Value,Yes
Week 1 Recording & Materials Now Available!,2025-09-23,2:14:08,111,96,86.49,0,0,0,0,0,FALSE,Value,Yes
Week 1 Q&A Recording Now Available!,2025-09-25,16:56:56,110,85,77.27,23,20.91,27.06,0,0,FALSE,Value,Yes
Reminder: Optional Q&A Session Today @ 11 AM EST,2025-09-25,12:11:19,110,88,80,0,0,0,0,0,FALSE,Value,Yes
Reminder: Week 2 Optional Q&A Session Today @ 11 AM EST,2025-10-02,12:36:21,110,81,73.64,0,0,0,0,0,FALSE,Value,Yes
Week 2 Q&A Recording Now Available!,2025-10-02,17:08:35,110,87,79.09,1,0.91,1.15,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 3 Workshop & Third Assignment!,2025-10-06,16:40:46,110,85,77.27,0,0,0,0,0,FALSE,Value,Yes
Week 3 Recording & Materials Now Available!,2025-10-07,2:20:40,110,78,70.91,0,0,0,0,0,FALSE,Value,Yes
Week 3 Q&A Recording Now Available!,2025-10-09,17:40:32,110,70,63.64,0,0,0,0,0,FALSE,Value,Yes
Reminder: Week 3 Optional Q&A Session Today @ 11 AM EST,2025-10-09,12:24:36,110,78,70.91,0,0,0,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 4 Workshop & Last Assignment!,2025-10-13,14:09:41,110,89,80.91,0,0,0,0,0,FALSE,Value,Yes
Week 4 Important Reminders + Recording & Materials Now Available,2025-10-14,1:55:49,110,83,75.45,0,0,0,0,0,FALSE,Value,Yes
Reminder: Week 4 Optional Q&A Session Today @ 11 AM EST,2025-10-16,12:23:32,110,74,67.27,0,0,0,0,0,FALSE,Value,Yes
Week 4 Q&A Recording + Reminders,2025-10-16,16:50:30,110,73,66.36,6,5.45,8.22,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 2 Workshop & Second Assignment!,2025-09-29,15:00:24,109,90,82.57,0,0,0,0,0,FALSE,Value,Yes
Week 2 Recording Now Available & Important Update!,2025-09-30,1:55:55,109,88,80.73,0,0,0,0,0,FALSE,Value,Yes
Reminder: Closing Event Today at 8PM EST!,2025-10-20,14:53:21,109,86,78.9,0,0,0,0,0,FALSE,Value,Yes
🎓 Closing Event Recap + Final Reminders (Save Your Resources!),2025-10-21,2:49:50,109,88,80.73,19,17.43,21.59,0,0,FALSE,Value,Yes
🎉 Welcome to the AI Agent Bootcamp!,2025-10-24,14:11:14,109,100,91.74,22,20.18,22,0,0,FALSE,Value,Yes
📣 Final Closing Reminders (Save Your Resources!),2025-10-24,10:19:51,109,93,85.32,32,29.36,34.41,1,0.92,FALSE,Value,Yes
Kick off event recording and slides now posted! 🌻,2025-10-26,16:41:45,109,92,84.4,3,2.75,3.26,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 1 Fundamentals & First Assignment!,2025-10-27,16:39:02,108,97,89.81,2,1.85,2.06,0,0,FALSE,Value,Yes
Week 1 Recording & Materials Now Available!,2025-10-28,1:59:56,108,91,84.26,2,1.85,2.2,0,0,FALSE,Value,Yes
Reminder: Week 1 Optional Q&A Session Today @ 11 AM EST,2025-10-31,14:16:30,108,85,78.7,3,2.78,3.53,0,0,FALSE,Value,Yes
Week 1 Q&A Recording Now Available!,2025-11-01,3:54:00,107,81,75.7,3,2.8,3.7,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 2 Workshop & Second Assignment!,2025-11-03,15:12:27,106,86,81.13,3,2.83,3.49,0,0,FALSE,Value,Yes
Week 2 Important Update & Recording Now Available,2025-11-04,2:39:32,106,83,78.3,3,2.83,3.61,0,0,FALSE,Value,Yes
Reminder: Week 2 Optional Q&A Session Today @ 10 AM EST,2025-11-06,11:58:11,106,74,69.81,3,2.83,4.05,0,0,FALSE,Value,Yes
Bonus Assignment & Week 2 Q&A Recording Now Available!,2025-11-06,16:55:09,106,79,74.53,3,2.83,3.8,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 3 Workshop & Third Assignment!,2025-11-10,15:15:30,105,80,76.19,3,2.86,3.75,0,0,FALSE,Value,Yes
Week 3 Recording & Materials Now Available!,2025-11-11,2:05:17,105,74,70.48,3,2.86,4.05,0,0,FALSE,Value,Yes
Reminder: Week 3 Optional Q&A Session Today @ 10 AM EST,2025-11-13,12:59:26,105,67,63.81,3,2.86,4.48,0,0,FALSE,Value,Yes
Week 3 Q&A Recording Now Available!,2025-11-13,17:11:55,105,70,66.67,3,2.86,4.29,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 4 Workshop & Last Assignment!,2025-11-17,14:49:11,104,83,79.81,3,2.88,3.61,0,0,FALSE,Value,Yes
Week 4 Recording & Materials Now Available!,2025-11-18,2:00:30,104,70,67.31,2,1.92,2.86,0,0,FALSE,Value,Yes
Reminder: Week 4 Optional Q&A Session Today @ 10 AM EST,2025-11-20,12:48:53,104,73,70.19,2,1.92,2.74,0,0,FALSE,Value,Yes
Week 4 Q&A Recording + Reminders,2025-11-20,17:10:34,104,78,75,8,7.69,10.26,0,0,FALSE,Value,Yes
🎓 Closing Event Recap + Final Reminders (Save Your Resources!),2025-11-24,17:11:34,104,84,80.77,9,8.65,10.71,0,0,FALSE,Value,Yes
Reminder: Closing Event Today at 10AM EST!,2025-11-24,12:33:17,104,79,75.96,2,1.92,2.53,0,0,FALSE,Value,Yes
📣 Final Closing Reminders (Save Your Resources!),2025-11-28,18:00:21,104,86,82.69,31,29.81,36.05,0,0,FALSE,Value,Yes
Final Closing Reminders (Save Your Resources!),2025-12-04,16:04:38,104,81,77.88,37,35.58,45.68,0,0,FALSE,Value,Yes
AI Agents Bootcamp Kicks Off Today! 🎉,2025-07-21,14:21:54,102,95,93.14,2,1.96,2.11,0,0,FALSE,Value,Yes
Week 1 Recording & Materials Now Available!,2025-07-24,3:15:28,102,85,83.33,2,1.96,2.35,0,0,FALSE,Value,Yes
Reminder: Optional Q&A Session Today @ 11 AM EST,2025-07-26,12:45:01,102,78,76.47,2,1.96,2.56,0,0,FALSE,Value,Yes
Reminder: Optional Q&A Session Today @ 11 AM EST,2025-07-26,12:50:54,102,79,77.45,2,1.96,2.53,0,0,FALSE,Value,Yes
AI Agent Bootcamp starting in two days,2025-07-19,15:00:13,101,91,90.1,15,14.85,16.48,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 1 Fundamentals & First Assignment!,2025-07-23,14:01:53,101,90,89.11,2,1.98,2.22,0,0,FALSE,Value,Yes
Welcome to the Lonely Octopus AI Agent Bootcamp!,2025-04-26,15:24:06,100,98,98,0,0,0,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 2 Workshop & Second Assignment!,2025-07-30,14:18:02,100,79,79,2,2,2.53,0,0,FALSE,Value,Yes
Week 2 Recording & Materials Now Available!,2025-07-31,13:01:13,99,81,81.82,2,2.02,2.47,0,0,FALSE,Value,Yes
Reminder: Week 2 Optional Q&A Session Today @ 11 AM EST,2025-08-02,13:29:01,99,73,73.74,2,2.02,2.74,0,0,FALSE,Value,Yes
Week 2 Q&A Recording Now Available!,2025-08-02,16:40:59,99,67,67.68,3,3.03,4.48,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 3 Workshop & Third Assignment!,2025-08-06,13:31:42,99,82,82.83,3,3.03,3.66,0,0,FALSE,Value,Yes
Week 3 Recording & Materials Now Available!,2025-08-07,2:13:41,99,78,78.79,2,2.02,2.56,0,0,FALSE,Value,Yes
Important Update & Week 3 Optional Q&A Session,2025-08-09,13:18:48,98,79,80.61,2,2.04,2.53,0,0,FALSE,Value,Yes
AI Agent Bootcamp - Week 4 Workshop & Last Assignment!,2025-08-13,14:07:42,98,79,80.61,2,2.04,2.53,0,0,FALSE,Value,Yes
Week 4 Recording & Materials Now Available!,2025-08-14,3:44:59,98,73,74.49,2,2.04,2.74,0,0,FALSE,Value,Yes
Reminder: Final Q&A Session Today @ 11 AM EST,2025-08-16,13:32:32,98,75,76.53,2,2.04,2.67,0,0,FALSE,Value,Yes
Q&A recording now posted + important notes!,2025-08-16,17:10:44,98,76,77.55,2,2.04,2.63,0,0,FALSE,Value,Yes
🎉 Final Reminder: Closing Event Today at 8PM EST!,2025-08-20,15:26:49,98,88,89.8,8,8.16,9.09,0,0,FALSE,Value,Yes
🎓 Closing Event Recap + Final Reminders (Save Your Resources!),2025-08-21,2:55:59,98,85,86.73,29,29.59,34.12,0,0,FALSE,Value,Yes
⏰ Less than 24 Hours Left – Save Your Resources Now,2025-08-23,12:31:42,98,79,80.61,31,31.63,39.24,0,0,FALSE,Value,Yes
🎉 Free Access to the AI App Sprint Workshop,2025-08-28,16:39:07,98,80,81.63,51,52.04,63.75,0,0,FALSE,Value,Yes
Can I ask a small favor?,2025-07-04,14:05:07,94,76,80.85,0,0,0,0,0,FALSE,Others,No
🎥 You’re invited - Free access to Freelance Accelerator Masterclass,2025-10-06,13:47:11,56,44,78.57,15,26.79,34.09,0,0,FALSE,Value,Yes
Just launched: The AI Agent Vault,2025-04-25,15:11:39,51,46,90.2,30,58.82,65.22,1,1.96,FALSE,Sales,Yes
Are AI agents worth the hype?,2025-04-26,14:30:10,48,31,64.58,11,22.92,35.48,0,0,FALSE,Value,Yes
How does the AI Agent Vault actually work?,2025-04-27,14:30:23,45,33,73.33,7,15.56,21.21,0,0,FALSE,Value,Yes
Five hours left...,2025-04-27,23:00:17,45,35,77.78,7,15.56,20,0,0,FALSE,Sales,Yes
Last chance...,2025-04-28,3:00:03,44,32,72.73,8,18.18,25,1,2.27,FALSE,Sales,Yes
Why you need to study AI,2025-02-10,20:22:27,36,17,47.22,0,0,0,1,2.78,FALSE,Value,No
Why you need to study AI,2025-02-10,20:26:20,7,3,42.86,0,0,0,0,0,FALSE,Value,No
Why you need to study AI,2025-02-09,15:02:41,4,0,0,0,0,0,0,0,FALSE,Value,No
