broadcast_id,date,subject,category,group_a_size,group_b_size,group_a_open,group_b_open,group_a_click,group_b_click
22705098,2026-01-28,Quick question about your AI goals for 2026 👀,Value,892,6368,506,4989,204,519
22812144,2026-02-05,A small shift that changed how I think about work,Value,892,6368,516,4441,0,12
22871373,2026-02-10,The AI agent shift I’m seeing in 2026,Value,892,6368,140,2022,13,21
22930099,2026-02-14,Going LIVE now,Value,892,6368,483,4246,108,234
22938662,2026-02-15,Livestream recording and slides,Value,892,6368,565,4556,215,410
22948563,2026-02-16,A quick heads up for tomorrow,Sales,892,6368,107,1998,2,17
22972438,2026-02-18,sold out,Sales,892,6368,111,2019,3,21
