subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links,subject_norm,api_broadcast_id,match_score
How to code using AI,2025-04-10,14:15:05,10937,4116,37.63,413,3.78,10.03,18,0.16,True,Value,Yes,how to code using ai,19021920.0,1.0
Vibe Coding 101 workshop happening today,2025-04-12,14:15:04,10989,4047,36.83,456,4.15,11.27,14,0.13,False,Value,Yes,vibe coding 101 workshop happening today,,
Going live now!,2025-04-13,0:00:01,10992,4078,37.1,437,3.98,10.72,29,0.26,False,Value,Yes,going live now,,
Vibe coding workshop recording and slides,2025-04-14,14:30:12,11104,4328,38.98,676,6.09,15.62,26,0.23,False,Value,Yes,vibe coding workshop recording and slides,,
Struggling to keep up with AI? Do this instead:,2025-04-15,14:25:15,9872,3331,33.74,239,2.42,7.18,14,0.14,False,Value,Yes,struggling to keep up with ai do this instead,19096531.0,1.0
Struggling to keep up with AI? Do this instead:,2025-04-15,14:10:03,1259,809,64.26,87,6.91,10.75,2,0.16,False,Sales,Yes,struggling to keep up with ai do this instead,19096531.0,1.0
How to build AI agents,2025-04-17,16:19:10,11215,4271,38.08,593,5.29,13.88,20,0.18,True,Value,Yes,how to build ai agents,19127760.0,1.0
The top 3 mistakes people make building AI agents,2025-04-18,16:36:16,1345,841,62.53,209,15.54,24.85,4,0.3,False,Value,Yes,the top 3 mistakes people make building ai agents,19139917.0,1.0
The top 3 mistakes people make building AI agents,2025-04-18,16:33:27,8563,2750,32.11,116,1.35,4.22,28,0.33,True,Value,Yes,the top 3 mistakes people make building ai agents,19139917.0,1.0
Building AI Agents workshop going LIVE today,2025-04-19,16:15:24,11272,4178,37.07,506,4.49,12.11,30,0.27,False,Value,Yes,building ai agents workshop going live today,19140024.0,1.0
Oops,2025-04-19,16:28:23,9710,3635,37.44,292,3.01,8.03,55,0.57,False,Value,Yes,oops,19148757.0,1.0
🐙 Livestream Delayed By 24 Hours,2025-04-19,23:38:53,11254,4068,36.15,269,2.39,6.61,26,0.23,False,Value,Yes,livestream delayed by 24 hours,19151050.0,1.0
I need to apologize in advance,2025-04-21,15:15:10,9532,3334,34.98,195,2.05,5.85,48,0.5,False,Value,Yes,i need to apologize in advance,19163995.0,1.0
Workshop recording and slides,2025-04-21,8:39:11,1856,1333,71.82,510,27.48,38.26,1,0.05,False,Value,Yes,workshop recording and slides,19157059.0,1.0
Workshop recording and slides,2025-04-21,8:37:44,9500,3102,32.65,312,3.28,10.06,21,0.22,False,Value,Yes,workshop recording and slides,19157059.0,1.0
Going live now!,2025-04-21,0:00:08,11266,4281,38.0,437,3.88,10.21,35,0.31,False,Value,Yes,going live now,,0.37209302325581395
I need to apologize in advance,2025-04-21,15:05:07,1869,1273,68.11,103,5.51,8.09,8,0.43,False,Sales,Yes,i need to apologize in advance,19163995.0,1.0
Important update…,2025-04-22,20:44:14,2256,1578,69.95,741,32.85,46.96,14,0.62,False,Sales,Yes,important update,19183929.0,1.0
Your early-bird invite is enclosed inside,2025-04-22,15:00:49,2239,1534,68.51,110,4.91,7.17,7,0.31,False,Sales,No,your early bird invite is enclosed inside,19178561.0,1.0
Why I’m launching the AI Agent Bootcamp,2025-04-22,20:14:05,9452,3135,33.17,9,0.1,0.29,54,0.57,False,Sales,Yes,why i m launching the ai agent bootcamp,19178556.0,1.0
Why I’m launching the AI Agent Bootcamp,2025-04-23,14:15:12,2219,1366,61.56,333,15.01,24.38,14,0.63,False,Sales,Yes,why i m launching the ai agent bootcamp,19178556.0,1.0
