broadcast_id,date,subject,category,lead_eligible,post_nonlead_eligible,existing_eligible,lead_open,post_nonlead_open,existing_open,lead_click,post_nonlead_click,existing_click,lead_open_rate,post_nonlead_open_rate,existing_open_rate,lead_sales_ctor,post_nonlead_sales_ctor,existing_sales_ctor
22705098,2026-01-28,Quick question about your AI goals for 2026 👀,Value,71,87,1455,30,43,778,0,0,0,42.25352112676056,49.42528735632184,53.470790378006875,,,
22812144,2026-02-05,A small shift that changed how I think about work,Value,80,302,1455,32,123,588,0,0,0,40.0,40.728476821192054,40.41237113402062,,,
22871373,2026-02-10,The AI agent shift I’m seeing in 2026,Value,82,362,1455,37,48,149,0,0,0,45.1219512195122,13.259668508287293,10.240549828178693,,,
22930099,2026-02-14,Going LIVE now,Value,84,475,1455,31,208,553,0,0,0,36.904761904761905,43.78947368421053,38.00687285223368,,,
22938662,2026-02-15,Livestream recording and slides,Value,84,574,1455,40,343,771,0,0,0,47.61904761904761,59.756097560975604,52.98969072164949,,,
22948563,2026-02-16,A quick heads up for tomorrow,Sales,85,627,1455,34,87,133,3,11,5,40.0,13.875598086124402,9.140893470790378,8.823529411764707,12.643678160919542,3.7593984962406015
22972438,2026-02-18,sold out,Sales,85,730,1455,32,105,140,1,7,6,37.64705882352941,14.383561643835616,9.621993127147768,3.125,6.666666666666667,4.285714285714286
