group,n_subscribers,mean_age_days,median_age_days,recent_90_pct,old_365_pct,stable_open_rate_mean,stable_ctor_mean,latest_open_rate,latest_ctor,stable_open_gap_vs_nonbuyer_pp,stable_ctor_gap_vs_nonbuyer_pp
Buyer,462,232.94588744588745,236.0,12.770562770562771,14.285714285714285,63.2646902807802,70.42782411091281,78.35497835497836,41.988950276243095,21.588607517050555,30.902388407495607
Non-buyer,19697,260.12225211961214,282.0,14.905823221810428,30.532568411433214,41.676082763729646,39.5254357034172,53.472363858861925,19.05215981691618,,
